source,destination,permanent,enabled,reason,queueOrder
/product-tag/jual-komputer-rakitan-murah-bojonegoro/page/2,/products/category/jual-komputer-rakitan-murah-bojonegoro,true,true,product_tag_to_products_category,173
/product-category/rakit-pc,/products/category/rakit-pc,true,true,legacy_product_category_to_products_category,174
/product-tag/jual-pc-rakitan-murah-ponorogo/page/2,/products/category/jual-pc-rakitan-murah-ponorogo,true,true,product_tag_to_products_category,175
/product/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi-geisler,/products/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi-geisler,true,true,product_singular_to_plural,176
/product-tag/jual-pc-rakitan-murah-ponorogo,/products/category/jual-pc-rakitan-murah-ponorogo,true,true,product_tag_to_products_category,177
/posts/jasa-pembuatan-website-surabaya,/blog/jasa-pembuatan-website-surabaya,true,true,legacy_posts_to_blog,178
/product/komputer-pc-rakitan-office-fullset-i5-gen4-led-19in-lg,/products/komputer-pc-rakitan-office-fullset-i5-gen4-led-19in-lg,true,true,product_singular_to_plural,180
/shop/page/9,/blog,true,true,pagination_to_canonical_listing,181
/product/pc-intel-core-i7-ram-16gb-ssdhdd,/products/pc-intel-core-i7-ram-16gb-ssdhdd,true,true,product_singular_to_plural,182
/product/pc-rakitan-standart-office-fullset-19in-i3-gen2,/products/pc-rakitan-standart-office-fullset-19in-i3-gen2,true,true,product_singular_to_plural,183
/pembuatan-website/portfolio,/services/jasa-pembuatan-website-surabaya,true,true,landing_cluster_to_service_canonical,184
/product-tag/jual-komputer-rakitan-murah-pacitan,/products/category/jual-komputer-rakitan-murah-pacitan,true,true,product_tag_to_products_category,185
/product/pc-rakitan-core-i5-2400-ssd-120gb-4gb-500gb-design-office-admin-n,/products/pc-rakitan-core-i5-2400-ssd-120gb-4gb-500gb-design-office-admin-n,true,true,product_singular_to_plural,186
/product-category/rakit-pc/page/1,/blog,true,true,pagination_to_canonical_listing,187
/product-tag/jual-komputer-rakitan-bangil,/products/category/jual-komputer-rakitan-bangil,true,true,product_tag_to_products_category,188
/product/pc-core-i7-4xxx-fullset-ram-4gb-hdd-500gb-led-19in-lg,/products/pc-core-i7-4xxx-fullset-ram-4gb-hdd-500gb-led-19in-lg,true,true,product_singular_to_plural,189
/tag/service-laptop-pacet,/services/it-support,true,true,legacy_tag_it_support_intent_to_service,190
/product-tag/jual-komputer-rakitan-murah-magetan-pamekasan/page/2,/products/category/jual-komputer-rakitan-murah-magetan-pamekasan,true,true,product_tag_to_products_category,191
/product-tag/jual-pc-rakitan-murah-pacitan,/products/category/jual-pc-rakitan-murah-pacitan,true,true,product_tag_to_products_category,192
/product-tag/jual-pc-rakitan-banyuwangi,/products/category/jual-pc-rakitan-banyuwangi,true,true,product_tag_to_products_category,193
/product-tag/jual-komputer-rakitan-bangil/page/2,/products/category/jual-komputer-rakitan-bangil,true,true,product_tag_to_products_category,194
/product-tag/jual-pc-rakitan-murah-magetan-pamekasan/page/2,/products/category/jual-pc-rakitan-murah-magetan-pamekasan,true,true,product_tag_to_products_category,195
/product-category/rakit-pc/page/4,/blog,true,true,pagination_to_canonical_listing,196
/product-tag/jual-pc-rakitan-murah-sidoarjo/page/2,/products/category/jual-pc-rakitan-murah-sidoarjo,true,true,product_tag_to_products_category,197
/product-tag/jasa-rakit-pc-murah-gresik/page/2,/products/category/jasa-rakit-pc-murah-gresik,true,true,product_tag_to_products_category,198
/product/hardisk-internal-500gb-10-ribu-lagu-karaoke-klip-asli-software-0,/products/hardisk-internal-500gb-10-ribu-lagu-karaoke-klip-asli-software-0,true,true,product_singular_to_plural,199
/shop/page/10,/blog,true,true,pagination_to_canonical_listing,201
/tag/jual-game-pc-madiun,/products/category/rakit-pc,true,true,legacy_tag_pc_intent_to_products_category,202
/product/pc-rakitan-core-i5-2400-ssd-120gb-4gb-500gb-design-office-admin,/products/pc-rakitan-core-i5-2400-ssd-120gb-4gb-500gb-design-office-admin,true,true,product_singular_to_plural,203
