queueOrder,page,oldPath,clicks,impressions,priorityScore,legacyType,suggestedTargetPath,proposedTargetPath,decisionType,reasonCode,confidence,curationStatus,reviewerNotes
11,https://www.kotacom.id/projects/restaurant-management-system,/projects/restaurant-management-system,0,270,10.73,project_detail,/services,/projects/restaurant-management-system,keep_or_redirect,projects_direct,medium,pending_review,
12,https://www.kotacom.id/product/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb,/product/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb,4,207,21.71,other_nested,,/products/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb,redirect,product_singular_to_plural,medium,pending_review,
13,https://www.kotacom.id/product/hardisk-5tb-63-ribu-lagu-karaoke-klipasli-software-full-ribuan-film,/product/hardisk-5tb-63-ribu-lagu-karaoke-klipasli-software-full-ribuan-film,2,201,14.09,other_nested,,/products/hardisk-5tb-63-ribu-lagu-karaoke-klipasli-software-full-ribuan-film,redirect,product_singular_to_plural,medium,pending_review,
14,https://www.kotacom.id/product/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb,/product/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb,4,197,18.42,other_nested,,/products/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb,redirect,product_singular_to_plural,medium,pending_review,
15,https://www.kotacom.id/product/pc-rakitan-gaming-core-i5-2400-ssd-120gb-8gb-500gb-nvidia-gt-1030-2gb,/product/pc-rakitan-gaming-core-i5-2400-ssd-120gb-8gb-500gb-nvidia-gt-1030-2gb,3,170,17.2,other_nested,,/products/pc-rakitan-gaming-core-i5-2400-ssd-120gb-8gb-500gb-nvidia-gt-1030-2gb,redirect,product_singular_to_plural,medium,pending_review,
16,https://www.kotacom.id/product/pc-rakitan-core-i5-4gb-500gb-low-budget-rakit-pc-office-admin,/product/pc-rakitan-core-i5-4gb-500gb-low-budget-rakit-pc-office-admin,1,153,13.19,other_nested,,/products/pc-rakitan-core-i5-4gb-500gb-low-budget-rakit-pc-office-admin,redirect,product_singular_to_plural,medium,pending_review,
17,https://www.kotacom.id/product/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0,/product/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0,4,142,22.91,other_nested,,/products/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0,redirect,product_singular_to_plural,medium,pending_review,
18,https://www.kotacom.id/product/pc-rakitan-kantor-intel-core-i3-gen2-ram-4gb-ddr3-hdd-500gb,/product/pc-rakitan-kantor-intel-core-i3-gen2-ram-4gb-ddr3-hdd-500gb,0,132,18.48,other_nested,,/products/pc-rakitan-kantor-intel-core-i3-gen2-ram-4gb-ddr3-hdd-500gb,redirect,product_singular_to_plural,medium,pending_review,
19,https://www.kotacom.id/product/pc-rakitan-player-karaoke-2tb-30-000-lagu-bukan-geisler-nakamichi,/product/pc-rakitan-player-karaoke-2tb-30-000-lagu-bukan-geisler-nakamichi,1,130,12.92,other_nested,,/products/pc-rakitan-player-karaoke-2tb-30-000-lagu-bukan-geisler-nakamichi,redirect,product_singular_to_plural,medium,pending_review,
20,https://www.kotacom.id/product/1-set-pc-intel-core-i7-ram-16gb-hdd-1tb-ssd-monitor-led-19-inc-pc-only-hdd-500gb-only,/product/1-set-pc-intel-core-i7-ram-16gb-hdd-1tb-ssd-monitor-led-19-inc-pc-only-hdd-500gb-only,3,126,15.35,other_nested,,/products/1-set-pc-intel-core-i7-ram-16gb-hdd-1tb-ssd-monitor-led-19-inc-pc-only-hdd-500gb-only,redirect,product_singular_to_plural,medium,pending_review,
21,https://www.kotacom.id/posts/startup-tech-surabaya-sidoarjo,/posts/startup-tech-surabaya-sidoarjo,2,126,15.55,other_nested,,/blog/startup-tech-surabaya-sidoarjo,redirect,legacy_posts_to_blog,high,pending_review,
22,https://www.kotacom.id/product-tag/jasa-rakit-pc-surabaya,/product-tag/jasa-rakit-pc-surabaya,2,121,22.63,other_nested,,/products/category/jasa-rakit-pc-surabaya,redirect,product_tag_to_products_category,medium,pending_review,
23,https://www.kotacom.id/software/pembuatan-software,/software/pembuatan-software,0,108,9.15,other_nested,,/services/pembuatan-software,redirect,service_namespace_merge,low,pending_review,
24,https://www.kotacom.id/product/pc-cpu-core-i5-2400-led-24-in-lg-keymouse-ram-8gb-hdd-500gb,/product/pc-cpu-core-i5-2400-led-24-in-lg-keymouse-ram-8gb-hdd-500gb,1,104,12.54,other_nested,,/products/pc-cpu-core-i5-2400-led-24-in-lg-keymouse-ram-8gb-hdd-500gb,redirect,product_singular_to_plural,medium,pending_review,
25,https://www.kotacom.id/product/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi,/product/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi,5,102,17.29,other_nested,,/products/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi,redirect,product_singular_to_plural,medium,pending_review,
26,https://www.kotacom.id/product/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc,/product/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc,4,102,24.08,other_nested,,/products/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc,redirect,product_singular_to_plural,medium,pending_review,
27,https://www.kotacom.id/product/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi,/product/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi,1,96,19.17,other_nested,,/products/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi,redirect,product_singular_to_plural,medium,pending_review,
28,https://www.kotacom.id/product/paket-speaker-karaoke-jbl-rma-220a-mk10pak-original-10-inch,/product/paket-speaker-karaoke-jbl-rma-220a-mk10pak-original-10-inch,0,86,18.5,other_nested,,/products/paket-speaker-karaoke-jbl-rma-220a-mk10pak-original-10-inch,redirect,product_singular_to_plural,medium,pending_review,
29,https://www.kotacom.id/product/amd-ryzen-7-ram-16gb-vga-rx-550-4gb-ddr5-ssd-1tb,/product/amd-ryzen-7-ram-16gb-vga-rx-550-4gb-ddr5-ssd-1tb,3,82,19.73,other_nested,,/products/amd-ryzen-7-ram-16gb-vga-rx-550-4gb-ddr5-ssd-1tb,redirect,product_singular_to_plural,medium,pending_review,
30,https://www.kotacom.id/pembuatan-website/surabaya,/pembuatan-website/surabaya,5,78,15.14,other_nested,,/services/jasa-pembuatan-website-surabaya,redirect,landing_cluster_to_service_canonical,low,pending_review,
31,https://www.kotacom.id/product/pc-gaming-intel-core-i5-4460-ram-16gb-vga-rx-4gb-ddr5-ssd-512gb,/product/pc-gaming-intel-core-i5-4460-ram-16gb-vga-rx-4gb-ddr5-ssd-512gb,0,78,15.06,other_nested,,/products/pc-gaming-intel-core-i5-4460-ram-16gb-vga-rx-4gb-ddr5-ssd-512gb,redirect,product_singular_to_plural,medium,pending_review,
32,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-lumajang,/product-tag/jual-pc-rakitan-murah-lumajang,7,77,27.24,other_nested,,/products/category/jual-pc-rakitan-murah-lumajang,redirect,product_tag_to_products_category,medium,pending_review,
33,https://www.kotacom.id/blog/transformasi-bisnis,/blog/transformasi-bisnis,0,75,9.52,other_nested,,/blog/transformasi-bisnis,keep_or_redirect,blog_slug_normalization,medium,pending_review,
34,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-madiun,/product-tag/jual-pc-rakitan-murah-madiun,5,74,23.94,other_nested,,/products/category/jual-pc-rakitan-murah-madiun,redirect,product_tag_to_products_category,medium,pending_review,
35,https://www.kotacom.id/jasa-cetak-buku-morowali-utara/cetak,/jasa-cetak-buku-morowali-utara/cetak,0,74,9.5,other_nested,,/services/printing-services,redirect,printing_cluster_to_service_canonical,low,pending_review,
36,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-mojokerto/page/2,/product-tag/jual-pc-rakitan-murah-mojokerto/page/2,2,71,13.39,other_nested,,/products/category/jual-pc-rakitan-murah-mojokerto,redirect,product_tag_to_products_category,medium,pending_review,
37,https://www.kotacom.id/product-tag/jual-komputer-rakitan-murah-madiun,/product-tag/jual-komputer-rakitan-murah-madiun,2,70,21.79,other_nested,,/products/category/jual-komputer-rakitan-murah-madiun,redirect,product_tag_to_products_category,medium,pending_review,
38,https://www.kotacom.id/product/usb-flashdisk-64gb-1200-lagu-karaoke-klip-asli-software-full-v-0,/product/usb-flashdisk-64gb-1200-lagu-karaoke-klip-asli-software-full-v-0,0,67,16.56,other_nested,,/products/usb-flashdisk-64gb-1200-lagu-karaoke-klip-asli-software-full-v-0,redirect,product_singular_to_plural,medium,pending_review,
39,https://www.kotacom.id/product/cpu-core-i7-2600-fullset-ram-4gb-hdd-500gb-led-19in-lg-keymouse,/product/cpu-core-i7-2600-fullset-ram-4gb-hdd-500gb-led-19in-lg-keymouse,0,66,9.3,other_nested,,/products/cpu-core-i7-2600-fullset-ram-4gb-hdd-500gb-led-19in-lg-keymouse,redirect,product_singular_to_plural,medium,pending_review,
